date,value
1954-7-1,1.1300
1954-7-10,1.2500
1954-7-20,0.2500
1954-7-30,0.2500
1954-8-1,0.2500
1954-8-10,1.4400
1954-8-20,1.4400
1954-8-30,1.4400
1954-9-1,1.4400
1954-9-10,1.2500
1954-9-20,0.5000
1954-9-30,1.4400
1954-10-1,0.5000
1954-10-10,1.2500
1954-10-20,0.2500
1954-10-30,1.1300
1954-11-1,1.3800
1954-11-10,0.1300
1954-11-20,0.8800
1954-11-30,1.3800
1954-12-1,1.2500
1954-12-10,1.4400
1954-12-20,1.2500
1954-12-30,1.4400
1955-1-1,1.4400
1955-1-10,1.4400
1955-1-20,1.4400
1955-1-30,1.4400
1955-2-1,1.4400
1955-2-10,1.0000
1955-2-20,1.4400
1955-3-1,1.4400
1955-3-10,1.4400
1955-3-20,1.4400
1955-3-30,1.4400
1955-4-1,1.4400
1955-4-10,1.4400
1955-4-20,1.5000
1955-4-30,1.6900
1955-5-1,1.6900
1955-5-10,0.7500
1955-5-20,1.0000
1955-5-30,1.6900
1955-6-1,1.6900
1955-6-10,1.6900
1955-6-20,1.6300
1955-6-30,1.6900
1955-7-1,1.6900
1955-7-10,1.6900
1955-7-20,1.6900
1955-7-30,1.7500
1955-8-1,1.6900
1955-8-10,1.9400
1955-8-20,2.0000
1955-8-30,2.0000
1955-9-1,2.0000
1955-9-10,2.2500
1955-9-20,2.1900
1955-9-30,2.1900
1955-10-1,2.1900
1955-10-10,2.2500
1955-10-20,2.2500
1955-10-30,2.2500
1955-11-1,2.2500
1955-11-10,2.2500
1955-11-20,2.5000
1955-11-30,2.4400
1955-12-1,2.5000
1955-12-10,2.5000
1955-12-20,2.5000
1955-12-30,2.5000
1956-1-1,2.5000
1956-1-10,2.4400
1956-1-20,2.5000
1956-1-30,2.5000
1956-2-1,2.5000
1956-2-10,2.5000
1956-2-20,2.5000
1956-2-29,2.5000
1956-3-9,2.5000
1956-3-19,2.5000
1956-3-29,2.5000
1956-3-31,2.5000
1956-4-9,2.5000
1956-4-19,2.7500
1956-4-29,2.7500
1956-4-30,2.7500
1956-5-9,2.7500
1956-5-19,2.7500
1956-5-29,2.7500
1956-5-31,2.7500
1956-6-9,2.7500
1956-6-19,2.7500
1956-6-29,2.7500
1956-6-30,2.7500
1956-7-1,2.7500
1956-7-10,2.7500
1956-7-20,2.7500
1956-7-30,2.7500
1956-8-1,2.6900
1956-8-10,2.7500
1956-8-20,2.7500
1956-8-30,3.0000
1956-9-1,3.0000
1956-9-10,3.0000
1956-9-20,3.0000
1956-9-30,3.0000
1956-10-1,3.0000
1956-10-10,2.9400
1956-10-20,2.9400
1956-10-30,2.9400
1956-11-1,3.0000
1956-11-10,3.0000
1956-11-20,2.9400
1956-11-30,3.0000
1956-12-1,3.0000
1956-12-10,3.0000
1956-12-20,3.0000
1956-12-30,3.0000
1957-1-1,3.0000
1957-1-10,2.9400
1957-1-20,3.0000
1957-1-30,3.0000
1957-2-1,3.0000
1957-2-10,3.0000
1957-2-20,3.0000
1957-3-1,3.0000
1957-3-10,3.0000
1957-3-20,3.0000
1957-3-30,2.9400
1957-4-1,3.0000
1957-4-10,3.0000
1957-4-20,3.0000
1957-4-30,3.0000
1957-5-1,3.0000
1957-5-10,3.0000
1957-5-20,3.0000
1957-5-30,3.0000
1957-6-1,3.0000
1957-6-10,3.0000
1957-6-20,3.0000
1957-6-30,3.0000
1957-7-1,3.0000
1957-7-10,3.0000
1957-7-20,3.0000
1957-7-30,2.9400
1957-8-1,3.0000
1957-8-10,3.0000
1957-8-20,3.3800
1957-8-30,3.5000
1957-9-1,3.5000
1957-9-10,3.5000
1957-9-20,3.5000
1957-9-30,3.5000
1957-10-1,3.5000
1957-10-10,3.5000
1957-10-20,3.5000
1957-10-30,3.5000
1957-11-1,3.5000
1957-11-10,3.5000
1957-11-20,3.0000
1957-11-30,3.0000
1957-12-1,3.0000
1957-12-10,3.0000
1957-12-20,3.0000
1957-12-30,3.0000
1958-1-1,3.0000
1958-1-10,3.0000
1958-1-20,3.0000
1958-1-30,1.7500
1958-2-1,1.5000
1958-2-10,2.7500
1958-2-20,1.0000
1958-3-1,0.5000
1958-3-10,1.2500
1958-3-20,1.5000
1958-3-30,0.7500
1958-4-1,0.2500
1958-4-10,2.1300
1958-4-20,1.0000
